,subject_term,housing,bikes,homelessness,dogs,parks,construction,traffic,transit,noise,energy,climate,infrastructure,safety,arts,childcare,democracy,cost of living,healthcare,equity,business,max_val,max_cat,count
0,20-minute makeover,0.5942015647888184,0.1076579615473747,0.0061354460194706,0.0149901881814002,0.2551889419555664,0.0454790256917476,0.0781041979789733,0.3190534114837646,0.0077607599087059,0.3656248450279236,0.1742138713598251,0.3273620009422302,0.1423319429159164,0.5228010416030884,0.0426093414425849,0.111852265894413,0.0924535915255546,0.2989250123500824,0.2569094598293304,0.2729357481002807,0.5942015647888184,housing,56
1,25 year club,0.3641347885131836,0.0373752191662788,0.0001236644311575,0.0114900106564164,0.1884489506483078,0.1969018578529358,0.0274821333587169,0.2313966602087021,0.0008199789444915,0.1923426985740661,0.1299300193786621,0.110086478292942,0.0789195671677589,0.2821906507015228,0.0125651424750685,0.0166925527155399,0.0264083538204431,0.168153703212738,0.4595496654510498,0.3890904486179352,0.4595496654510498,equity,37
2,3 R,0.4808206260204315,0.3144190907478332,0.0782832652330398,0.0418820530176162,0.2049760669469833,0.422740489244461,0.2422966808080673,0.5830466747283936,0.0934701859951019,0.5449357032775879,0.2701929211616516,0.4087547063827514,0.4581091701984405,0.5037031769752502,0.1529100239276886,0.0042291167192161,0.6441783905029297,0.2559577226638794,0.3874093294143677,0.5525677800178528,0.6441783905029297,cost of living,41
3,3-1-1,0.6031783819198608,0.11839210242033,0.1018497794866561,0.0403969138860702,0.2684726417064667,0.5733604431152344,0.393126517534256,0.6746253371238708,0.1276371628046035,0.5314455628395081,0.3794704079627991,0.5048217177391052,0.5907905697822571,0.577592134475708,0.2508742809295654,0.0878453850746154,0.4546963274478912,0.3323646187782287,0.4746744930744171,0.626048743724823,0.6746253371238708,transit,26
4,311,0.4190574288368225,0.0818675309419632,0.1092672422528266,0.0386256091296672,0.1357499957084655,0.2972612679004669,0.2250047922134399,0.4609909653663635,0.0742359608411789,0.3402604460716247,0.2018186748027801,0.3586510717868805,0.3716129958629608,0.3882837891578674,0.1060298159718513,0.095837652683258,0.4002126455307007,0.2077641785144806,0.2949549853801727,0.4880109429359436,0.4880109429359436,business,26
5,311 calls,0.1640865504741668,0.0098367547616362,0.0322878472507,0.0088929319754242,0.0488667450845241,0.1607786267995834,0.2330915927886963,0.4139636754989624,0.119296871125698,0.1859458982944488,0.0954855978488922,0.3441607058048248,0.3189408481121063,0.0740477070212364,0.0399476625025272,0.0136386780068278,0.0713223069906234,0.1330586820840835,0.1634210646152496,0.3994655013084411,0.4139636754989624,transit,26
6,9-1-1,0.2909964323043823,0.0339612588286399,0.068949393928051,0.0149605190381407,0.09607395529747,0.2910179793834686,0.1239610090851783,0.4785614013671875,0.0834961533546447,0.2825091183185577,0.1232957616448402,0.3240771889686584,0.5758204460144043,0.2924661338329315,0.0708855539560318,0.0252564828842878,0.2319575995206833,0.1892791837453842,0.3276629149913788,0.4102899432182312,0.5758204460144043,safety,75
7,911,0.0649866461753845,0.0083663342520594,0.028505615890026,0.0042105563916265,0.0190451294183731,0.0523667819797992,0.0430888086557388,0.199296623468399,0.1566671431064605,0.0427852943539619,0.0798164829611778,0.0949480682611465,0.9168259501457214,0.0110209854319691,0.0060161226429045,0.0006585886585526,0.2226350754499435,0.0044929129071533,0.1283716261386871,0.0933281481266021,0.9168259501457214,safety,75
8,911 calls,0.0010926045943051,0.0002098771365126,0.0016971646109595,0.0005840721423737,0.000189451224287,0.0003425177710596,0.002229340840131,0.0081626586616039,0.0262365825474262,0.000334777723765,0.0007966060657054,0.0018532120157033,0.9127578735351562,0.0001711248041829,0.000140816802741,0.0004169617313891,0.0014086685841903,0.0002155414695153,0.0414491668343544,0.0011205367045477,0.9127578735351562,safety,75
9,AED,0.114720344543457,0.0041643772274255,0.0035762244369834,0.0083489324897527,0.0531104244291782,0.1396049261093139,0.0289028622210025,0.0890998095273971,0.0002318096958333,0.964066743850708,0.0722687989473342,0.7692595720291138,0.952018976211548,0.4326359033584595,0.007352590560913,0.0142490724101662,0.699804961681366,0.971057653427124,0.0298160966485738,0.436053603887558,0.971057653427124,healthcare,2
