subject_term,housing,bikes,homelessness,dogs,parks,construction,traffic,transit,noise,energy,climate,infrastructure,safety,arts,childcare,democracy,cost of living,healthcare,equity,business
20-minute makeover,0.5942015647888184,0.10765796154737473,0.006135446019470692,0.014990188181400299,0.2551889419555664,0.045479025691747665,0.07810419797897339,0.31905341148376465,0.00776075990870595,0.3656248450279236,0.17421387135982513,0.3273620009422302,0.14233194291591644,0.5228010416030884,0.04260934144258499,0.111852265894413,0.09245359152555466,0.2989250123500824,0.25690945982933044,0.27293574810028076
25 year club,0.3641347885131836,0.03737521916627884,0.0001236644311575219,0.011490010656416416,0.1884489506483078,0.1969018578529358,0.027482133358716965,0.2313966602087021,0.000819978944491595,0.19234269857406616,0.1299300193786621,0.11008647829294205,0.07891956716775894,0.2821906507015228,0.01256514247506857,0.016692552715539932,0.026408353820443153,0.16815370321273804,0.4595496654510498,0.3890904486179352
3 R,0.4808206260204315,0.31441909074783325,0.07828326523303986,0.04188205301761627,0.20497606694698334,0.42274048924446106,0.24229668080806732,0.5830466747283936,0.09347018599510193,0.5449357032775879,0.2701929211616516,0.40875470638275146,0.45810917019844055,0.5037031769752502,0.1529100239276886,0.004229116719216108,0.6441783905029297,0.2559577226638794,0.3874093294143677,0.5525677800178528
3-1-1,0.6031783819198608,0.11839210242033005,0.10184977948665619,0.04039691388607025,0.2684726417064667,0.5733604431152344,0.393126517534256,0.6746253371238708,0.12763716280460358,0.5314455628395081,0.3794704079627991,0.5048217177391052,0.5907905697822571,0.577592134475708,0.25087428092956543,0.08784538507461548,0.45469632744789124,0.33236461877822876,0.4746744930744171,0.626048743724823
311,0.4190574288368225,0.0818675309419632,0.10926724225282669,0.03862560912966728,0.13574999570846558,0.2972612679004669,0.22500479221343994,0.4609909653663635,0.0742359608411789,0.34026044607162476,0.20181867480278015,0.3586510717868805,0.3716129958629608,0.38828378915786743,0.10602981597185135,0.09583765268325806,0.4002126455307007,0.2077641785144806,0.29495498538017273,0.4880109429359436
311 calls,0.16408655047416687,0.009836754761636257,0.0322878472507,0.00889293197542429,0.048866745084524155,0.16077862679958344,0.2330915927886963,0.4139636754989624,0.11929687112569809,0.18594589829444885,0.09548559784889221,0.34416070580482483,0.3189408481121063,0.07404770702123642,0.03994766250252724,0.013638678006827831,0.07132230699062347,0.13305868208408356,0.16342106461524963,0.39946550130844116
9-1-1,0.2909964323043823,0.033961258828639984,0.068949393928051,0.014960519038140774,0.09607395529747009,0.29101797938346863,0.12396100908517838,0.4785614013671875,0.08349615335464478,0.28250911831855774,0.12329576164484024,0.32407718896865845,0.5758204460144043,0.2924661338329315,0.0708855539560318,0.025256482884287834,0.2319575995206833,0.18927918374538422,0.3276629149913788,0.4102899432182312
911,0.06498664617538452,0.00836633425205946,0.028505615890026093,0.0042105563916265965,0.019045129418373108,0.05236678197979927,0.04308880865573883,0.19929662346839905,0.15666714310646057,0.042785294353961945,0.07981648296117783,0.09494806826114655,0.9168259501457214,0.011020985431969166,0.00601612264290452,0.0006585886585526168,0.22263507544994354,0.004492912907153368,0.12837162613868713,0.09332814812660217
911 calls,0.0010926045943051577,0.0002098771365126595,0.0016971646109595895,0.0005840721423737705,0.00018945122428704053,0.0003425177710596472,0.0022293408401310444,0.008162658661603928,0.026236582547426224,0.0003347777237650007,0.0007966060657054186,0.0018532120157033205,0.9127578735351562,0.00017112480418290943,0.00014081680274102837,0.0004169617313891649,0.001408668584190309,0.0002155414695153013,0.0414491668343544,0.0011205367045477033
AED,0.11472034454345703,0.004164377227425575,0.003576224436983466,0.00834893248975277,0.05311042442917824,0.13960492610931396,0.02890286222100258,0.08909980952739716,0.00023180969583336264,0.964066743850708,0.07226879894733429,0.7692595720291138,0.9520189762115479,0.4326359033584595,0.007352590560913086,0.014249072410166264,0.699804961681366,0.971057653427124,0.029816096648573875,0.436053603887558
AEI,0.10399545729160309,0.022378811612725258,0.015121744014322758,0.011507127434015274,0.03664599359035492,0.1872480809688568,0.06415538489818573,0.24863164126873016,0.0031782689038664103,0.7588959336280823,0.07610490173101425,0.2842719852924347,0.46648460626602173,0.9422327876091003,0.03130891174077988,0.038410503417253494,0.18284305930137634,0.29962724447250366,0.9146770238876343,0.508641242980957
AIDS,0.008072136901319027,0.0003883024037349969,0.00024391616170760244,0.0005001853569410741,0.0016269786283373833,0.0011487562442198396,0.0005863552796654403,0.020715326070785522,0.0012001304421573877,0.00017570254567544907,0.00016129652794916183,0.0002815587795339525,0.0005726004601456225,0.0003389251069165766,0.00017000566003844142,6.649339775322005e-05,0.0006835070671513677,0.0009245580877177417,0.00033186684595420957,0.0002533797814976424
ALH,0.37245604395866394,0.031181909143924713,0.055090196430683136,0.01551580335944891,0.06537564098834991,0.22665652632713318,0.10204994678497314,0.32719579339027405,0.05761469900608063,0.8318269848823547,0.14112944900989532,0.2487664520740509,0.49162864685058594,0.6060125231742859,0.09076858311891556,0.025805504992604256,0.43284714221954346,0.44601696729660034,0.9079126715660095,0.39506760239601135
APS,0.2694655954837799,0.04589879885315895,0.04950673505663872,0.02780129574239254,0.1870194524526596,0.23109690845012665,0.08558324724435806,0.2573358714580536,0.020574621856212616,0.5036972165107727,0.11660811305046082,0.2638503313064575,0.6233181357383728,0.9544917345046997,0.0760432705283165,0.03353046998381615,0.43864932656288147,0.17554950714111328,0.1897510439157486,0.3559568524360657
AQHI,0.5223784446716309,0.003124422626569867,0.0020456251222640276,0.0024963205214589834,0.009895904920995235,0.08080605417490005,0.011548342183232307,0.05357428267598152,0.0021658020559698343,0.4131466746330261,0.044858016073703766,0.17727769911289215,0.15178106725215912,0.12424669414758682,0.006039861124008894,0.0010239235125482082,0.13824020326137543,0.7398441433906555,0.06955306977033615,0.300813227891922
AQI,0.07083391398191452,0.006417213939130306,0.008794994093477726,0.0061248308047652245,0.03862552344799042,0.062330424785614014,0.03395423665642738,0.1081082746386528,0.0017302037449553609,0.3957846462726593,0.0438082180917263,0.2803393304347992,0.14328032732009888,0.07365074753761292,0.013256928883492947,0.004088667221367359,0.1143922358751297,0.03130946680903435,0.8025246262550354,0.07193002104759216
ATMs,8.235493442043662e-05,7.945828838273883e-05,5.934865475865081e-05,7.174584607128054e-05,6.154588481876999e-05,0.00014263458433561027,0.00011822958913398907,0.003444804809987545,0.00027176798903383315,0.000358568096999079,0.00047683139564469457,0.9678306579589844,0.7777783274650574,0.00046143538202159107,6.333927740342915e-05,0.00021529782679863274,0.0036743064410984516,0.00016408944793511182,0.0025844054762274027,0.8081809282302856
Acquired Immunodeficiency Syndrome,0.014468924142420292,0.0008332128636538982,0.0001398417807649821,0.002869454910978675,0.025823500007390976,0.0003491098468657583,0.0010000111069530249,0.03172117471694946,0.00027985862107016146,0.0007305062026716769,0.0005674160784110427,0.0018050346989184618,0.0011313188588246703,0.0004665506712626666,0.0015360887628048658,0.00014163060404825956,0.0002575040271040052,0.11082630604505539,0.00134676368907094,0.0004834962892346084
Alzheimers,0.003254687413573265,0.00012941539171151817,6.779703835491091e-05,0.00016122360830195248,0.0006043157773092389,0.0001777427678462118,0.0002954843221232295,0.0017450394807383418,0.0014164225431159139,0.00022484087094198912,0.00021619365725200623,0.00019696952949743718,0.0007684165029786527,0.00014913425548002124,6.694666080875322e-05,5.5197422625496984e-05,0.00025162778911180794,0.001117574400268495,0.0006320055690594018,0.00016522197984158993
Asian Long Horned Beetles,0.059211891144514084,0.0001684938615653664,0.0020405210088938475,9.225283429259434e-05,0.1081644669175148,0.016067391261458397,0.001422451576218009,0.49090662598609924,0.009512996301054955,0.6077945232391357,0.006813954096287489,0.006265633273869753,0.2142072468996048,0.3084815740585327,0.004762053024023771,0.003230659756809473,0.020466139540076256,0.00345734809525311,0.3653514087200165,0.061379898339509964
Asian Long-Horned Beetles,0.04370979219675064,0.00013570152805186808,0.0011871174210682511,7.979103247635067e-05,0.07592075318098068,0.015446132980287075,0.0008574086823500693,0.5312153697013855,0.0052988664247095585,0.5453331470489502,0.0021584874484688044,0.0030730327125638723,0.25214412808418274,0.30832305550575256,0.005134319420903921,0.0021557407453656197,0.009899881668388844,0.003691701451316476,0.32675522565841675,0.061105117201805115
Asian Longhorned Beetles,0.14081944525241852,0.00015174029977060854,0.0017235464183613658,8.291685662698e-05,0.10810329020023346,0.023805009201169014,0.0010277460096403956,0.5277848243713379,0.007800592575222254,0.4840465486049652,0.03616204857826233,0.006884274072945118,0.2715804874897003,0.35892942547798157,0.011685213074088097,0.005544984247535467,0.02668941766023636,0.008397859521210194,0.4461086690425873,0.10856133699417114
Avenues,0.001255034003406763,0.0008266973891295493,0.0001614430802874267,0.0004863991343881935,0.00028511250275187194,0.001632864703424275,0.20018018782138824,0.017542904242873192,0.0004403334460221231,0.0008583852904848754,0.0005365050164982677,0.9394447207450867,0.40705734491348267,0.0009323420817963779,0.00033084797905758023,0.003920815419405699,0.0065573034808039665,0.0004684296145569533,0.01708274520933628,0.007122798357158899
BIA,0.09160204231739044,0.988265872001648,0.010515556670725346,0.010303130373358727,0.025859564542770386,0.1424136608839035,0.031014053151011467,0.07532023638486862,0.0016707611503079534,0.1836714744567871,0.05506051331758499,0.9316254258155823,0.3781493306159973,0.06211153790354729,0.008310269564390182,0.012311755679547787,0.2492561787366867,0.07252562791109085,0.10507438331842422,0.9919129014015198
BMX,0.0009817633545026183,0.9987109303474426,0.00021968080545775592,0.0001669023622525856,0.0013414487475529313,0.003879488678649068,0.00071800994919613,0.025535348802804947,0.0012819682015106082,0.003874166402965784,0.0009506570058874786,0.0011150561040267348,0.3732191324234009,0.0006062901229597628,0.0001549378939671442,0.00021777722577098757,0.06478284299373627,0.00020094974024686962,0.010848838835954666,0.8152398467063904
BMX bike parks,0.00013716147805098444,0.9947078227996826,2.8893768103444017e-05,9.978241723729298e-05,0.9881327152252197,0.00036974711110815406,0.0001432947610737756,0.0017794579034671187,0.008044296875596046,0.01033442746847868,0.00046049055526964366,0.9084192514419556,0.4073435962200165,0.00023522341507487,6.508728984044865e-05,0.00028627147548832,0.0007154993363656104,7.013347931206226e-05,0.08712948858737946,0.33484727144241333
BMX bike riders,0.00028480871696956456,0.9979748129844666,3.6331159208202735e-05,7.125229603843763e-05,0.016421696171164513,0.0004076934710610658,0.0002804378164000809,0.013438636437058449,0.033118005841970444,0.10251706093549728,0.0012455760734155774,0.002834843937307596,0.7357852458953857,0.0006236688932403922,9.282589599024504e-05,0.0014122725697234273,0.011515727266669273,8.965397864812985e-05,0.21123909950256348,0.0054654222913086414
Barnes dance,0.0012959974119439721,0.00037287193117663264,9.975027933251113e-05,0.00040968332905322313,0.0009801557753235102,0.0002638477017171681,0.00015245252870954573,0.0031977840699255466,0.0007767384522594512,0.49978795647621155,0.0003126753435935825,0.0004828676756005734,0.0014158207923173904,0.9689013361930847,0.0004708537016995251,0.0007062735967338085,0.001154725905507803,0.00016186486755032092,0.019209016114473343,0.0018071350641548634
CAN-BIKE,0.0027805292047560215,0.9887871146202087,0.002173071028664708,0.0006711267051286995,0.007288359571248293,0.22765415906906128,0.00896354578435421,0.3903738260269165,0.0022405991330742836,0.01124388538300991,0.04323594272136688,0.7102106213569641,0.8315958380699158,0.04923735558986664,0.003909352235496044,0.002574347658082843,0.07178281992673874,0.0030566505156457424,0.044853318482637405,0.5658440589904785
CAN-BIKE courses,0.002545891096815467,0.9806064963340759,0.0005794730968773365,0.00042793675675056875,0.000663964485283941,0.0054811448790133,0.00797721091657877,0.0751509740948677,0.00122697907499969,0.00734581658616662,0.0916019007563591,0.12831155955791473,0.5382931232452393,0.0034369942732155323,0.0005502132698893547,0.006785394623875618,0.01651948317885399,0.0005518661346286535,0.09977827221155167,0.07087169587612152
CANBIKE,0.018298432230949402,0.9920646548271179,0.002034275559708476,0.00408580107614398,0.009568862617015839,0.7816174626350403,0.0171003807336092,0.2684750258922577,0.00954469759017229,0.14564742147922516,0.5993528962135315,0.9852825999259949,0.7802032232284546,0.4375930428504944,0.022129954770207405,0.00820701289921999,0.19373100996017456,0.025344453752040863,0.11572512984275818,0.6616663932800293
CANBIKE courses,0.0032971149776130915,0.9837814569473267,0.0006661833613179624,0.0006201560026966035,0.000838682462926954,0.021265463903546333,0.017177877947688103,0.12051962316036224,0.001725011970847845,0.020782167091965675,0.1951921582221985,0.40463748574256897,0.4344292879104614,0.00650219339877367,0.0013825783971697092,0.008980883285403252,0.02681201882660389,0.0017722761258482933,0.125028595328331,0.05946775898337364
CMA,0.1700591742992401,0.010429572314023972,0.004830521531403065,0.004247147589921951,0.020328223705291748,0.38096192479133606,0.14632268249988556,0.11468655616044998,0.0005504932487383485,0.0627785474061966,0.7580639123916626,0.2886236608028412,0.3955238461494446,0.5657917857170105,0.2952420115470886,0.006631110794842243,0.739963710308075,0.6645179986953735,0.09421811997890472,0.925633430480957
CP,0.473491370677948,0.08486294746398926,0.10983311384916306,0.0373409129679203,0.16997094452381134,0.9256895184516907,0.28670161962509155,0.45363524556159973,0.06521601229906082,0.30915212631225586,0.572962760925293,0.418351948261261,0.48826736211776733,0.3230556845664978,0.16524657607078552,0.10244902223348618,0.8673678040504456,0.2415914684534073,0.31879720091819763,0.5603950619697571
CRTK,0.2527120113372803,0.03169696405529976,0.02594245970249176,0.013656496070325375,0.050202421844005585,0.4197193384170532,0.4306458532810211,0.6814073324203491,0.007659411057829857,0.41503670811653137,0.42833492159843445,0.4931151568889618,0.589781641960144,0.2678884267807007,0.18758371472358704,0.009567267261445522,0.5012203454971313,0.14580340683460236,0.21075677871704102,0.6428447961807251
Canadian National Exhibition,0.00012288014113437384,0.016005460172891617,0.0002579500724095851,0.005971544422209263,0.00023176040849648416,0.0005463965935632586,0.0010372224496677518,0.0025364644825458527,0.004331944976001978,0.03336163982748985,0.010332218371331692,0.0007999422959983349,0.049196794629096985,0.5110899806022644,0.00013478448090609163,0.010466648265719414,0.013229873031377792,0.00030710423015989363,0.1096058040857315,0.0005422179237939417
Centres,0.5408980846405029,0.00258016143925488,0.0008469908498227596,0.0018355193315073848,0.00817769207060337,0.4770295321941376,0.006988398730754852,0.004551965277642012,0.0004541535454336554,0.07245903462171555,0.8672338128089905,0.9673283696174622,0.27135494351387024,0.17528827488422394,0.30169621109962463,0.04800338298082352,0.17371296882629395,0.5212187767028809,0.31964629888534546,0.7629558444023132
Christmas trees (waste),7.701399590587243e-05,4.9499118176754564e-05,0.00011008416186086833,5.738341133110225e-05,0.00010180533718084916,0.0002083218569168821,7.76601373218e-05,0.00467851385474205,0.0016527383122593164,0.0004924553795717657,0.00021478213602676988,7.56070512579754e-05,0.00015898807032499462,0.0003599516348913312,0.00010024895891547203,4.693848313763738e-05,0.0006951807881705463,7.256589742610231e-05,0.0002281737106386572,0.0003836486430373043
Crime Stoppers,0.0007029517437331378,0.0024747769348323345,0.00038900013896636665,0.001357892295345664,0.00023612403310835361,0.00026740727480500937,0.0007574626361019909,0.004455062095075846,0.006152341142296791,0.0007145021227188408,0.00032655088580213487,0.0005305150407366455,0.0010136383352801204,0.00010708021727623418,0.00017620281141716987,6.0091195337008685e-05,0.0007329968502745032,7.886870298534632e-05,0.0017353399889543653,0.0002973124210257083
DEET,0.1604306548833847,0.007283966522663832,0.02566520683467388,0.005947587545961142,0.052114106714725494,0.10284386575222015,0.038021307438611984,0.0772213563323021,0.002558717504143715,0.03396918252110481,0.026942159980535507,0.1403057873249054,0.5799118876457214,0.017160944640636444,0.034058827906847,0.002816784894093871,0.055102016776800156,0.030447915196418762,0.006209303624927998,0.14498543739318848
